timestamp,total_passengers,aircraft_waiting,counters,security,gates,shops,taxis_city_to_airport,taxis_airport_to_city
1733052479.305027,22,1,0.0,0.0,0.0,0.0,17.77777777777778,0.0
1733052480.310304,22,1,0.0,0.0,0.0,0.0,17.77777777777778,0.0
1733052481.317399,23,1,33.33333333333333,0.0,0.0,0.0,15.555555555555555,2.2222222222222223
1733052482.323178,23,1,50.0,0.0,0.0,0.0,15.555555555555555,2.2222222222222223
1733052483.3263738,24,1,100.0,0.0,0.0,0.0,13.333333333333334,48.888888888888886
1733052484.329042,20,1,100.0,0.0,0.0,0.0,13.333333333333334,40.0
1733052485.3394,21,1,75.0,0.0,0.0,0.0,11.11111111111111,40.0
1733052486.342936,19,1,25.0,100.0,0.0,0.0,11.11111111111111,35.55555555555556
1733052487.3484778,17,1,75.0,100.0,0.0,0.0,6.666666666666667,26.666666666666668
1733052488.351369,19,1,100.0,66.66666666666666,0.0,0.0,0.0,24.444444444444443
1733052489.356719,16,1,80.0,66.66666666666666,14.285714285714285,0.0,0.0,17.77777777777778
1733052490.358308,38,2,80.0,100.0,0.0,0.0,2.2222222222222223,37.77777777777778
1733052491.362932,35,2,80.0,50.0,0.0,100.0,2.2222222222222223,33.33333333333333
1733052492.368611,33,2,80.0,50.0,0.0,50.0,2.2222222222222223,37.77777777777778
1733052493.372025,29,2,40.0,100.0,0.0,50.0,4.444444444444445,48.888888888888886
1733052494.377391,27,2,40.0,80.0,14.285714285714285,0.0,2.2222222222222223,42.22222222222222
1733052495.382878,23,2,40.0,100.0,14.285714285714285,0.0,0.0,33.33333333333333
1733052496.385205,20,2,20.0,80.0,14.285714285714285,100.0,0.0,28.888888888888886
1733052497.3902762,18,2,20.0,16.666666666666664,14.285714285714285,100.0,0.0,24.444444444444443
1733052498.392676,14,2,20.0,16.666666666666664,14.285714285714285,50.0,2.2222222222222223,15.555555555555555
1733052499.3978088,10,2,20.0,16.666666666666664,14.285714285714285,33.33333333333333,4.444444444444445,8.88888888888889
1733052500.403584,9,2,0.0,33.33333333333333,14.285714285714285,33.33333333333333,6.666666666666667,6.666666666666667
1733052501.406096,8,2,0.0,16.666666666666664,14.285714285714285,66.66666666666666,6.666666666666667,4.444444444444445
1733052502.4074152,20,3,0.0,16.666666666666664,14.285714285714285,33.33333333333333,6.666666666666667,33.33333333333333
1733052503.412865,19,3,0.0,16.666666666666664,28.57142857142857,0.0,6.666666666666667,31.11111111111111
1733052504.418768,18,3,0.0,16.666666666666664,28.57142857142857,0.0,8.88888888888889,28.888888888888886
1733052505.423594,15,3,0.0,0.0,28.57142857142857,0.0,8.88888888888889,24.444444444444443
1733052506.4301581,16,3,100.0,0.0,28.57142857142857,0.0,4.444444444444445,22.22222222222222
1733052507.434607,15,3,100.0,20.0,28.57142857142857,0.0,2.2222222222222223,17.77777777777778
1733052508.4379442,15,3,66.66666666666666,25.0,28.57142857142857,0.0,0.0,17.77777777777778
1733052509.443376,11,3,66.66666666666666,50.0,28.57142857142857,0.0,2.2222222222222223,11.11111111111111
1733052510.447413,9,3,100.0,50.0,28.57142857142857,0.0,0.0,4.444444444444445
1733052511.4541628,8,3,75.0,50.0,14.285714285714285,0.0,0.0,4.444444444444445
1733052512.458594,6,3,50.0,75.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052513.459266,6,3,25.0,75.0,28.57142857142857,0.0,2.2222222222222223,0.0
1733052514.465258,31,4,0.0,50.0,14.285714285714285,100.0,2.2222222222222223,57.77777777777777
1733052515.468437,28,4,0.0,25.0,14.285714285714285,50.0,2.2222222222222223,51.11111111111111
1733052516.473867,24,4,0.0,25.0,14.285714285714285,50.0,2.2222222222222223,42.22222222222222
1733052517.479337,22,4,0.0,0.0,14.285714285714285,100.0,4.444444444444445,37.77777777777778
1733052518.485645,22,4,100.0,0.0,28.57142857142857,33.33333333333333,0.0,35.55555555555556
1733052519.490808,20,4,50.0,25.0,14.285714285714285,33.33333333333333,2.2222222222222223,33.33333333333333
1733052520.4911602,18,4,50.0,33.33333333333333,28.57142857142857,0.0,4.444444444444445,28.888888888888886
1733052521.496753,15,4,100.0,0.0,28.57142857142857,0.0,4.444444444444445,24.444444444444443
1733052522.499167,12,4,66.66666666666666,0.0,28.57142857142857,0.0,2.2222222222222223,15.555555555555555
1733052523.504431,8,4,100.0,0.0,28.57142857142857,0.0,2.2222222222222223,6.666666666666667
1733052524.511355,22,5,50.0,100.0,14.285714285714285,0.0,2.2222222222222223,22.22222222222222
1733052525.51725,21,5,50.0,50.0,14.285714285714285,0.0,2.2222222222222223,37.77777777777778
1733052526.521816,19,5,50.0,0.0,0.0,100.0,4.444444444444445,35.55555555555556
1733052527.527478,16,5,25.0,50.0,0.0,50.0,4.444444444444445,28.888888888888886
1733052528.528799,14,5,0.0,100.0,0.0,50.0,4.444444444444445,24.444444444444443
1733052529.5351748,14,5,50.0,66.66666666666666,14.285714285714285,0.0,0.0,20.0
1733052530.537527,13,5,66.66666666666666,66.66666666666666,14.285714285714285,0.0,2.2222222222222223,17.77777777777778
1733052531.543243,10,5,66.66666666666666,66.66666666666666,0.0,0.0,2.2222222222222223,13.333333333333334
1733052532.545123,8,5,33.33333333333333,100.0,0.0,0.0,2.2222222222222223,8.88888888888889
1733052533.550762,4,5,33.33333333333333,66.66666666666666,14.285714285714285,0.0,4.444444444444445,0.0
1733052534.559955,3,5,33.33333333333333,66.66666666666666,0.0,0.0,4.444444444444445,0.0
1733052535.565724,3,5,33.33333333333333,0.0,14.285714285714285,100.0,6.666666666666667,0.0
1733052536.5714,4,5,66.66666666666666,0.0,28.57142857142857,0.0,4.444444444444445,0.0
1733052537.575774,3,5,33.33333333333333,50.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052538.5819101,26,6,0.0,100.0,14.285714285714285,0.0,4.444444444444445,51.11111111111111
1733052539.588781,19,6,33.33333333333333,66.66666666666666,0.0,0.0,2.2222222222222223,35.55555555555556
1733052540.591777,17,6,50.0,0.0,14.285714285714285,100.0,4.444444444444445,31.11111111111111
1733052541.598089,15,6,50.0,0.0,0.0,50.0,6.666666666666667,28.888888888888886
1733052542.602328,12,6,50.0,0.0,0.0,50.0,6.666666666666667,22.22222222222222
1733052543.607958,12,6,50.0,0.0,14.285714285714285,0.0,6.666666666666667,22.22222222222222
1733052544.611449,9,6,50.0,0.0,14.285714285714285,0.0,8.88888888888889,15.555555555555555
1733052545.614199,11,6,100.0,100.0,14.285714285714285,0.0,4.444444444444445,15.555555555555555
1733052546.619273,9,6,50.0,100.0,14.285714285714285,0.0,6.666666666666667,11.11111111111111
1733052547.625754,8,6,33.33333333333333,100.0,0.0,0.0,4.444444444444445,8.88888888888889
1733052548.630356,4,6,33.33333333333333,75.0,0.0,0.0,4.444444444444445,0.0
1733052549.635038,5,6,66.66666666666666,75.0,0.0,0.0,2.2222222222222223,0.0
1733052550.6371899,5,6,33.33333333333333,100.0,0.0,0.0,2.2222222222222223,0.0
1733052551.641288,5,6,33.33333333333333,40.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052552.646572,5,6,33.33333333333333,40.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052553.650708,5,6,33.33333333333333,40.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052554.654284,6,6,66.66666666666666,20.0,28.57142857142857,0.0,2.2222222222222223,0.0
1733052555.659771,6,6,33.33333333333333,40.0,28.57142857142857,0.0,4.444444444444445,0.0
1733052556.66418,5,6,0.0,40.0,42.857142857142854,0.0,4.444444444444445,0.0
1733052557.6699688,33,7,0.0,0.0,42.857142857142854,100.0,4.444444444444445,42.22222222222222
1733052558.67467,31,7,0.0,0.0,42.857142857142854,50.0,4.444444444444445,60.0
1733052559.684394,29,7,0.0,0.0,28.57142857142857,50.0,6.666666666666667,57.77777777777777
1733052560.6954722,27,7,100.0,0.0,28.57142857142857,50.0,4.444444444444445,51.11111111111111
1733052561.700205,25,7,100.0,0.0,14.285714285714285,0.0,6.666666666666667,51.11111111111111
1733052562.706041,24,7,66.66666666666666,100.0,14.285714285714285,0.0,2.2222222222222223,44.44444444444444
1733052563.7098591,19,7,66.66666666666666,50.0,0.0,0.0,2.2222222222222223,35.55555555555556
1733052564.715173,18,7,66.66666666666666,100.0,0.0,0.0,2.2222222222222223,31.11111111111111
1733052565.720473,13,7,33.33333333333333,66.66666666666666,0.0,0.0,2.2222222222222223,20.0
1733052566.725301,11,7,33.33333333333333,100.0,0.0,0.0,2.2222222222222223,15.555555555555555
1733052567.730876,6,7,33.33333333333333,50.0,0.0,100.0,4.444444444444445,4.444444444444445
1733052568.7351198,5,7,66.66666666666666,50.0,0.0,50.0,2.2222222222222223,0.0
1733052569.740217,5,7,66.66666666666666,25.0,14.285714285714285,50.0,4.444444444444445,0.0
1733052570.745306,4,7,66.66666666666666,25.0,0.0,50.0,4.444444444444445,0.0
1733052571.746913,4,8,33.33333333333333,50.0,0.0,50.0,4.444444444444445,0.0
1733052572.752055,4,8,33.33333333333333,0.0,28.57142857142857,0.0,4.444444444444445,0.0
1733052573.755425,5,8,33.33333333333333,25.0,28.57142857142857,0.0,4.444444444444445,0.0
1733052574.759617,5,8,33.33333333333333,25.0,28.57142857142857,0.0,4.444444444444445,0.0
1733052575.763537,4,8,33.33333333333333,33.33333333333333,14.285714285714285,0.0,4.444444444444445,0.0
1733052576.7661362,3,8,33.33333333333333,0.0,14.285714285714285,100.0,4.444444444444445,0.0
1733052577.768348,3,8,33.33333333333333,0.0,14.285714285714285,0.0,6.666666666666667,0.0
1733052578.773299,4,8,66.66666666666666,0.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052579.7804348,5,8,100.0,0.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052580.785045,5,8,100.0,0.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052581.790538,5,9,60.0,100.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052582.796053,5,9,60.0,50.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052583.800788,4,9,40.0,100.0,0.0,0.0,2.2222222222222223,0.0
1733052584.804847,4,9,40.0,100.0,0.0,0.0,2.2222222222222223,0.0
1733052585.810865,5,9,40.0,75.0,0.0,0.0,0.0,0.0
1733052586.816653,5,9,20.0,50.0,14.285714285714285,100.0,2.2222222222222223,0.0
1733052587.822547,5,9,20.0,25.0,14.285714285714285,50.0,2.2222222222222223,0.0
1733052588.82766,5,9,20.0,0.0,14.285714285714285,50.0,2.2222222222222223,0.0
1733052589.8323252,4,9,20.0,0.0,14.285714285714285,50.0,2.2222222222222223,0.0
1733052590.83794,4,9,20.0,0.0,28.57142857142857,50.0,4.444444444444445,0.0
1733052591.843947,5,9,40.0,0.0,28.57142857142857,50.0,2.2222222222222223,0.0
1733052592.84991,4,9,20.0,100.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052593.855982,4,9,20.0,50.0,14.285714285714285,0.0,2.2222222222222223,0.0
1733052594.864188,3,9,20.0,50.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052595.870263,3,9,20.0,50.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052596.875374,3,9,20.0,50.0,14.285714285714285,0.0,4.444444444444445,0.0
1733052597.881121,4,9,40.0,100.0,0.0,0.0,0.0,0.0
